ProductID,Description,Size,Volume,Classification
27853,Brandini Dolcetto d'Alba,750mL,750.0,2
27868,Chimney Rock Elevage SLD,750mL,750.0,2
27870,Flor Prosecco,750mL,750.0,2
27871,Flor Rose Brut,750mL,750.0,2
27873,Poderi Le Ripi Amore e Folli,750mL,750.0,2
27878,Poderi Le Ripi Amore e Magia,750mL,750.0,2
27879,I Perazzi La Mozza Sangioves,750mL,750.0,2
27924,Barone Ricasoli Casalferro,750mL,750.0,2
27925,Barone Ricasoli Castello,750mL,750.0,2
27926,Barone Ricasoli Rocca Guicci,750mL,750.0,2
27969,Fattoria le Pupille Poggio,750mL,750.0,2
27989,Hundred Acre Kayli Morgan,750mL,750.0,2
28006,Priest Ranch Coach Gun Red,750mL,750.0,2
28007,Priest Ranch Sauvignon Blanc,750mL,750.0,2
28029,DLD Syrah -Les Gosses,750mL,750.0,2
28050,Morgan Winery Albarino,750mL,750.0,2
33052,Gosset Grande RSV Brut,750mL,750.0,2
33685,Montepulciano D'Abruz Sensi,750mL,750.0,2
33735,Hopler Trockenbeerenauslese,375mL,375.0,2
34646,Terrazas Alto Cab Svgn Argn,750mL,750.0,2
34842,Hopler Zweigelt Austria,750mL,750.0,2
36208,Ch Bellevue Lussac St Emili,750mL,750.0,2
36306,Dom Chandon Pinot Meunier,750mL,750.0,2
36538,Liberty Creek RSV Cab Svgn,1.5L,1500.0,2
38303,Dry Creek Heritage Cln Znfdl,750mL,750.0,2
38889,Justin Justification Paso R,750mL,750.0,2
40258,La Crema Chard Sonoma Coast,375mL,375.0,2
40331,Terrazas Alto Chard Mendoza,750mL,750.0,2
40444,Santa Ema Reserve Merlot,750mL,750.0,2
40782,Krug Rose Champagne,750mL,750.0,2
41862,Rex Goliath Shiraz,750mL,750.0,2
42437,Crane Lake Cab Svgn Cal,1.5L,1500.0,2
42438,Crane Lake Chard Cal,750mL,750.0,2
42655,Warre's Vintage Port 03,750mL,750.0,2
42677,Kistler Les Noisetiers Sono,750mL,750.0,2
42897,Twomey Merlot Napa,750mL,750.0,2
43022,Ceretto Barbaresco,750mL,750.0,2
